epoch,global_step,stage,val_loss,val_wer
0,0.0,val_end,,
0,20882.998046875,val_end,,
0,20882.998046875,train_end,13.159500122070312,0.07858754694461823
1,41765.99609375,val_end,13.159500122070312,0.07858754694461823
1,41765.99609375,train_end,13.244119644165039,0.07852117717266083
